Date,Rate,ISO Code From,ISO Code To
"6/27/2019 Thursday",110.69280,USD,NPR
"6/28/2019 Friday",110.67333,USD,NPR
"7/1/2019 Monday",110.92409,USD,NPR
"7/2/2019 Tuesday",110.49494,USD,NPR
"7/3/2019 Wednesday",110.24236,USD,NPR
"7/4/2019 Thursday",109.52010,USD,NPR
"7/5/2019 Friday",109.74523,USD,NPR
"7/8/2019 Monday",109.76175,USD,NPR
"7/9/2019 Tuesday",109.61128,USD,NPR
"7/10/2019 Wednesday",109.34390,USD,NPR
"7/11/2019 Thursday",109.53439,USD,NPR
"7/12/2019 Friday",109.41451,USD,NPR
"7/15/2019 Monday",109.77018,USD,NPR
"7/16/2019 Tuesday",109.82463,USD,NPR
"7/17/2019 Wednesday",110.09779,USD,NPR
"7/18/2019 Thursday",109.37112,USD,NPR
"7/19/2019 Friday",110.17146,USD,NPR
"7/22/2019 Monday",110.36667,USD,NPR
"7/23/2019 Tuesday",110.56615,USD,NPR
"7/24/2019 Wednesday",110.45494,USD,NPR
"7/25/2019 Thursday",110.23099,USD,NPR
"7/26/2019 Friday",110.23155,USD,NPR
"7/29/2019 Monday",109.86507,USD,NPR
"7/30/2019 Tuesday",110.08229,USD,NPR
"7/31/2019 Wednesday",110.81213,USD,NPR
"8/1/2019 Thursday",110.02039,USD,NPR
"8/2/2019 Friday",110.64290,USD,NPR
"8/5/2019 Monday",111.94921,USD,NPR
"8/6/2019 Tuesday",113.12754,USD,NPR
"8/7/2019 Wednesday",112.82028,USD,NPR
"8/8/2019 Thursday",112.96447,USD,NPR
"8/9/2019 Friday",112.94729,USD,NPR
"8/12/2019 Monday",113.87913,USD,NPR
"8/13/2019 Tuesday",114.19698,USD,NPR
"8/14/2019 Wednesday",113.90008,USD,NPR
"8/15/2019 Thursday",114.58305,USD,NPR
"8/16/2019 Friday",113.50357,USD,NPR
"8/19/2019 Monday",114.49486,USD,NPR
"8/20/2019 Tuesday",114.26409,USD,NPR
"8/21/2019 Wednesday",114.51607,USD,NPR
"8/22/2019 Thursday",114.44120,USD,NPR
"8/23/2019 Friday",113.64004,USD,NPR
"8/26/2019 Monday",115.19475,USD,NPR
"8/27/2019 Tuesday",114.64354,USD,NPR
"8/28/2019 Wednesday",115.04620,USD,NPR
"8/29/2019 Thursday",114.86010,USD,NPR
"8/30/2019 Friday",114.75074,USD,NPR
"9/2/2019 Monday",114.21982,USD,NPR
"9/3/2019 Tuesday",115.38865,USD,NPR
"9/4/2019 Wednesday",115.13647,USD,NPR
"9/5/2019 Thursday",115.10231,USD,NPR
"9/6/2019 Friday",114.59769,USD,NPR
"9/9/2019 Monday",114.16108,USD,NPR
"9/10/2019 Tuesday",114.93348,USD,NPR
"9/11/2019 Wednesday",114.69252,USD,NPR
"9/12/2019 Thursday",113.43197,USD,NPR
"9/13/2019 Friday",113.57334,USD,NPR
"9/16/2019 Monday",114.88861,USD,NPR
"9/17/2019 Tuesday",114.47307,USD,NPR
"9/18/2019 Wednesday",114.06975,USD,NPR
"9/19/2019 Thursday",113.99076,USD,NPR
"9/20/2019 Friday",113.59553,USD,NPR
"9/23/2019 Monday",113.26967,USD,NPR
"9/24/2019 Tuesday",113.28100,USD,NPR
"9/25/2019 Wednesday",114.11420,USD,NPR
"9/26/2019 Thursday",113.50584,USD,NPR
"9/27/2019 Friday",112.90853,USD,NPR
"9/30/2019 Monday",113.23421,USD,NPR
"10/1/2019 Tuesday",113.31510,USD,NPR
"10/2/2019 Wednesday",113.35042,USD,NPR
"10/3/2019 Thursday",113.32090,USD,NPR
"10/4/2019 Friday",113.40709,USD,NPR
"10/7/2019 Monday",113.63533,USD,NPR
"10/8/2019 Tuesday",114.17123,USD,NPR
"10/9/2019 Wednesday",113.73164,USD,NPR
"10/10/2019 Thursday",113.89525,USD,NPR
"10/11/2019 Friday",113.68228,USD,NPR
"10/14/2019 Monday",113.95505,USD,NPR
"10/15/2019 Tuesday",114.31058,USD,NPR
"10/16/2019 Wednesday",113.81730,USD,NPR
"10/17/2019 Thursday",113.74510,USD,NPR
"10/18/2019 Friday",113.49776,USD,NPR
"10/21/2019 Monday",113.40016,USD,NPR
"10/22/2019 Tuesday",113.77001,USD,NPR
"10/23/2019 Wednesday",113.29039,USD,NPR
"10/24/2019 Thursday",113.91073,USD,NPR
"10/25/2019 Friday",113.82286,USD,NPR
"10/28/2019 Monday",113.15806,USD,NPR
"10/29/2019 Tuesday",113.00294,USD,NPR
"10/30/2019 Wednesday",112.95214,USD,NPR
"10/31/2019 Thursday",113.52427,USD,NPR
"11/1/2019 Friday",113.13322,USD,NPR
"11/4/2019 Monday",113.59718,USD,NPR
"11/5/2019 Tuesday",113.52247,USD,NPR
"11/6/2019 Wednesday",113.44988,USD,NPR
"11/7/2019 Thursday",113.79544,USD,NPR
"11/8/2019 Friday",114.20469,USD,NPR
"11/11/2019 Monday",114.42634,USD,NPR
"11/12/2019 Tuesday",114.64041,USD,NPR
"11/13/2019 Wednesday",115.28120,USD,NPR
"11/14/2019 Thursday",114.75272,USD,NPR
"11/15/2019 Friday",114.67142,USD,NPR
"11/18/2019 Monday",114.74905,USD,NPR
"11/19/2019 Tuesday",114.66316,USD,NPR
"11/20/2019 Wednesday",114.69393,USD,NPR
"11/21/2019 Thursday",115.03227,USD,NPR
"11/22/2019 Friday",115.15691,USD,NPR
"11/25/2019 Monday",114.75382,USD,NPR
"11/26/2019 Tuesday",114.35427,USD,NPR
"11/27/2019 Wednesday",114.20744,USD,NPR
"11/28/2019 Thursday",114.49629,USD,NPR
"11/29/2019 Friday",114.55696,USD,NPR
"12/2/2019 Monday",114.02544,USD,NPR
"12/3/2019 Tuesday",114.62294,USD,NPR
"12/4/2019 Wednesday",114.37662,USD,NPR
"12/5/2019 Thursday",113.88163,USD,NPR
"12/6/2019 Friday",114.29682,USD,NPR
"12/9/2019 Monday",113.78531,USD,NPR
"12/10/2019 Tuesday",113.38838,USD,NPR
"12/11/2019 Wednesday",112.85046,USD,NPR
"12/12/2019 Thursday",112.92311,USD,NPR
"12/13/2019 Friday",113.82443,USD,NPR
"12/16/2019 Monday",113.58543,USD,NPR
"12/17/2019 Tuesday",113.61721,USD,NPR
"12/18/2019 Wednesday",113.71949,USD,NPR
"12/19/2019 Thursday",113.72822,USD,NPR
"12/20/2019 Friday",114.13634,USD,NPR
"12/23/2019 Monday",113.85109,USD,NPR
